"","id","curr","value"
"1","1","CURR1","Painting"
"2","2","CURR1","Painting"
"3","6","CURR1","Sculpure"
"4","8","CURR1","Painting"
"5","9","CURR1","Sculpure"
"6","10","CURR1","Painting"
"7","11","CURR1","Digital Art"
"8","12","CURR1","Sculpure"
"9","14","CURR1","Ceramic"
"10","15","CURR1","Photography"
"11","1","CURR3","Painting"
"12","2","CURR3","Painting"
"13","6","CURR3","Sculpure"
"14","8","CURR3","Painting"
"15","9","CURR3","Art History"
"16","10","CURR3","Painting"
"17","11","CURR3","Digital Art"
"18","12","CURR3","Sculpure"
"19","14","CURR3","Ceramic"
"20","15","CURR3","Photography"
"21","1","CURR5","Painting"
"22","2","CURR5","Painting"
"23","6","CURR5","Painting"
"24","8","CURR5","Painting"
"25","9","CURR5","Art History"
"26","10","CURR5","Painting"
"27","11","CURR5","Digital Art"
"28","12","CURR5","Sculpure"
"29","14","CURR5","Painting"
"30","15","CURR5","Photography"
"31","1","CURR7","Painting"
"32","2","CURR7","Painting"
"33","6","CURR7","Painting"
"34","8","CURR7","Painting"
"35","9","CURR7","Painting"
"36","10","CURR7","Painting"
"37","11","CURR7","Digital Art"
"38","12","CURR7","Sculpure"
"39","14","CURR7","Painting"
"40","15","CURR7","Painting"
"41","1","CURR9","Painting"
"42","2","CURR9","Painting"
"43","6","CURR9","Painting"
"44","8","CURR9",NA
"45","9","CURR9","Painting"
"46","10","CURR9","Painting"
"47","11","CURR9","Digital Art"
"48","12","CURR9","Painting"
"49","14","CURR9","Painting"
"50","15","CURR9","Painting"
"51","1","CURR11","Painting"
"52","2","CURR11","Painting"
"53","6","CURR11","Painting"
"54","8","CURR11","Painting"
"55","9","CURR11","Painting"
"56","10","CURR11","Painting"
"57","11","CURR11","Painting"
"58","12","CURR11","Painting"
"59","14","CURR11","Painting"
"60","15","CURR11","Painting"
"61","1","CURR13","Painting"
"62","2","CURR13",NA
"63","6","CURR13","Painting"
"64","8","CURR13","Painting"
"65","9","CURR13","Painting"
"66","10","CURR13",NA
"67","11","CURR13","Painting"
"68","12","CURR13","Painting"
"69","14","CURR13","Painting"
"70","15","CURR13","Painting"
"71","1","CURR15","Painting"
"72","2","CURR15",NA
"73","6","CURR15","Painting"
"74","8","CURR15","Painting"
"75","9","CURR15","Painting"
"76","10","CURR15",NA
"77","11","CURR15","Painting"
"78","12","CURR15","Painting"
"79","14","CURR15","Painting"
"80","15","CURR15",NA
